SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
1223,"Bhagyodaya Teerth Inst. and Paramedical Sc. College, Sagar. (Id: C-19133)",0,1,0,1,NA,50,NA,50,NA,5,NA,5
1224,"Bhagyodaya Teerth Nursing College, Sagar (Id: C-19248)",0,1,0,1,NA,200,NA,200,NA,120,NA,120
1225,BHAI CHHANNUSING CHANDELE COLLGE OF SOCIAL WORK 163 A RAILWAY LINE OLD EMPLOYMENT CHOWK IN FRONTOF BHANDARE HOSPITAL SOLAPUR-413001 (Id: C-15766),1,0,0,1,30,NA,NA,30,29,NA,NA,29
1226,"Bhai Kishanrao Deshmukh Senior College, Chakur (Id: C-7392)",0,1,0,1,NA,50,NA,50,NA,22,NA,22
1227,Bhai Maha Singh College of Engg. (Id: C-10294),1,1,0,2,496,173,NA,669,239,51,NA,290
1228,"Bhaisaheb Sawant Ayurved Mahavidyalaya, Sawantwadi, Dist. Sindhudurga (Id: C-13923)",1,1,0,2,25,50,NA,75,12,44,NA,56
1229,Bhajarang Engineering College (Id: C-16481),1,1,0,2,150,150,NA,300,70,30,NA,100
1230,"Bhandarkr's Arts and Science College, Kundapura-576201 (Id: C-16859)",0,1,0,1,NA,54,NA,54,NA,38,NA,38
1231,"Bhanwar Lal Duggad Ayurveda Vishva Bharti,Sardar Shahar (Id: C-26233)",1,1,0,2,150,100,NA,250,50,90,NA,140
1232,"Bharata Matha College, Thrikkakara P.O. 682 021 (Id: C-11709)",1,0,0,1,25,NA,NA,25,25,NA,NA,25
1233,Bharat College of Education (Id: C-22920),0,1,0,1,NA,80,NA,80,NA,0,NA,0
1234,"BHARATESH COLLEGE OF COMPUTER APPLICATION, BELGAUM (Id: C-9996)",0,1,0,1,NA,100,NA,100,NA,15,NA,15
1235,Bharatesh College of Nursing (Id: C-40401),1,1,0,2,40,60,NA,100,27,45,NA,72
1236,Bharath College of Education (Id: C-14581),1,1,0,2,100,100,NA,200,30,10,NA,40
1237,Bharath College of Engineering and Technology for Women (Id: C-26945),0,1,0,1,NA,120,NA,120,NA,100,NA,100
1238,"Bharath College of Science and Management, South Garden, Thanjavur - 613 007. (Id: C-35896)",1,1,0,2,120,150,NA,270,110,75,NA,185
1239,"BHARATHEEYA VIDYA NIKETHAN COLLEGE OF TEACHER EDUCATION, KALLEKKAD (Id: C-8063)",0,1,0,1,NA,15,NA,15,NA,4,NA,4
1240,Bharathesh Homoeopathic Medical College and Hospital (Id: C-40168),1,3,0,4,30,145,NA,175,28,112,NA,140
1241,"Bharathiar University Arts and science College,Coimbatore (Id: C-41114)",0,1,0,1,NA,50,NA,50,NA,20,NA,20
1242,"Bharathi College, Bharthinagar (Id: C-17498)",1,1,0,2,780,350,NA,1130,730,290,NA,1020
1243,Bharathi College of Education (Id: C-7009),1,1,0,2,100,100,NA,200,50,50,NA,100
1244,Bharathi College of Nursing (Id: C-40137),1,1,0,2,200,300,NA,500,20,80,NA,100
1245,Bharathi College of Pharmacy (Id: C-40504),1,1,0,2,350,300,NA,650,325,280,NA,605
1246,Bharathidasan College of Arts and Science (Id: C-41071),1,1,0,2,100,100,NA,200,23,27,NA,50
1247,Bharathidasan Engineering College (Id: C-16475),1,1,0,2,500,100,NA,600,150,25,NA,175
1248,Bharathidasan School of Business (Id: C-41109),1,1,0,2,100,100,NA,200,23,27,NA,50
1249,Bharathidasan School of Computer Application (Id: C-41055),1,1,0,2,100,150,NA,250,21,29,NA,50
1250,"Bharathi Education College,Bharathinagar KM Doddi mandya (Id: C-17596)",1,1,0,2,100,100,NA,200,15,20,NA,35
1251,"Bharathi First grade College, Kirugavalu (Id: C-17573)",1,0,0,1,50,NA,NA,50,50,NA,NA,50
1252,Bharathi Vidyalaya College of Education (Id: C-14608),0,1,0,1,NA,50,NA,50,NA,40,NA,40
1253,Bharathi Vidyalaya College of Education (Women) (Id: C-14823),0,1,0,1,NA,50,NA,50,NA,40,NA,40
1254,"Bharathi Women's Arts andScience College ,Thatghur,Kaalakurugchi-606 202 (Id: C-36382)",0,1,0,1,NA,150,NA,150,NA,70,NA,70
1255,BHARATHI WOMENS COLLEGE (Id: C-43937),0,1,0,1,NA,165,NA,165,NA,185,NA,185
1256,Bharathiyar Arts and Science College (W) (Id: C-9516),0,1,0,1,NA,600,NA,600,NA,350,NA,350
1257,Bharathiyar College of Education (Id: C-14921),0,1,0,1,NA,1000,NA,1000,NA,700,NA,700
1258,Bharathiyar Institute of Engineering for Women (Id: C-37076),0,1,0,1,NA,702,NA,702,NA,209,NA,209
1259,"Bharath Matha First Grade College,Koppa ,Piriyapatna (Id: C-17540)",0,1,0,1,NA,10,NA,10,NA,0,NA,0
1260,"Bharath Niketan Engineering College, Theni (Id: C-26806)",1,1,0,2,300,200,NA,500,282,168,NA,450
1261,"Bharat Institute of Nursing Training, Jalandhar Nakodar Road, VPO Mundh, Distt. Jalandhar (Id: C-29117)",0,1,0,1,NA,400,NA,400,NA,377,NA,377
1262,"BHARAT INSTITUTE OF TECHNOLOGY SCHOOL OF ENGINEERING, MEERUT (Id: C-46964)",1,1,0,2,440,273,NA,713,425,252,NA,677
1263,"BHARAT INSTITUTE OF TECHNOLOGY SCHOOL OF MANAGEMENT, MEERUT (Id: C-46965)",1,1,0,2,60,60,NA,120,14,2,NA,16
1264,Bharat Institute of Techonlogy (Id: C-19300),1,1,0,2,140,60,NA,200,135,40,NA,175
1265,Bharati Vidapeeths Regional Office College of MCA Sector-8 C B D Belapur Navi Mumbai (Id: C-33618),1,1,0,2,50,30,NA,80,15,10,NA,25
1266,"Bharati Vidyapeeth Dr. Patangrao Kadam College, Sangliwadi, (Id: C-11082)",0,1,0,1,NA,110,NA,110,NA,100,NA,100
1267,Bharati Vidyapeeth Institute of Computer Applications and Management (Id: C-32905),0,1,0,1,NA,70,NA,70,NA,25,NA,25
1268,"Bharati Vidyapeeth Matoshri Bayabai Shripatrao Kadam Kanya Mahavidyalaya, KADEGAON (Id: C-11049)",0,2,0,2,NA,400,NA,400,NA,400,NA,400
1269,Bharati Vidyapeeths College of Architecture Sector 8 CBD Belapur Opp to Konkan Bhavan Navi Mumbai Mumbai 400 614 (Id: C-33979),1,1,0,2,30,30,NA,60,30,30,NA,60
1270,Bharati Vidyapeeth's College of Engineering (Id: C-32863),0,1,0,1,NA,100,NA,100,NA,85,NA,85
1271,"Bharati Vidyapeeths College of Engineering for Women, Pune (Id: C-41377)",0,1,0,1,NA,200,NA,200,NA,200,NA,200
1272,"Bharati Vidyapeeth's College of Engineering, Lavale Address: lavale Taluka: Mulashi District: Pune (Id: C-41597)",1,1,0,2,200,100,NA,300,164,24,NA,188
1273,"Bharati Vidyapeeth's College of Engineering, Morewadi, (Id: C-11135)",1,0,0,1,24,NA,NA,24,24,NA,NA,24
1274,Bharati Vidyapeeths College of Engineering Sector-7 C.B.D.Belpada Navi Mumbai 400 614 (Id: C-33566),1,1,0,2,240,310,NA,550,135,102,NA,237
1275,"Bharati Vidyapeeths College of Fine Arts, Pune (Id: C-41434)",1,1,0,2,281,200,NA,481,2,3,NA,5
1276,Bharati Vidyapeeths College of Pharmacy Sector-3 CBD Navi Mumbai 400 615 (Id: C-33814),1,1,0,2,240,300,NA,540,2,3,NA,5
1277,Bharati Vidyapeeths Institute College of Bachelor of Hotel and Tourism Management (B.H.T.M.S.) at C.B.D. Belapur Navi Mumbai (Id: C-33760),1,1,0,2,100,100,NA,200,5,15,NA,20
1278,"Bharat Mishra Sanskrit College, Chapra (Id: C-9632)",1,0,0,1,12,NA,NA,12,7,NA,NA,7
1279,"Bharat Shikshan Prasarak Mandals, Jaikranti College of Computer Science and Management Studies,Pune (Id: C-41558)",1,0,0,1,50,NA,NA,50,30,NA,NA,30
1280,Bharat Technology 208-PHAR (Id: C-6142),1,1,0,2,45,40,NA,85,45,37,NA,82
1281,Bharat Technology 208-WBUT (Id: C-6326),1,1,0,2,45,40,NA,85,3,1,NA,4
1282,BHARAT VIDYA PEETH COLLEGE OF EDUCATION (Id: C-28334),0,1,0,1,NA,20,NA,20,NA,1,NA,1
1283,"Bharti Bal Mandir Samiti, Ayurved Nursing Training Centre, Jaipur (Id: C-26230)",0,1,0,1,NA,60,NA,60,NA,5,NA,5
1284,Bharti College of Engineering and Technology (Id: C-15624),1,1,0,2,80,60,NA,140,65,50,NA,115
1285,"BHARTI INSTITUTEITUTE OF PHARMACEUTICAL SCIENCE, SRIGANGANAGAR (Id: C-47222)",0,1,0,1,NA,50,NA,50,NA,8,NA,8
1286,BHARTI VIDYA MANDIR COLLEGE OF MANAGEMENT EDUCATION YAMUNA NAGAR THATIPUR (Id: C-34895),1,1,0,2,48,20,NA,68,45,15,NA,60
1287,Bharti Vidyapeeths Institute of Management Studies and Research Sectore No. 8 CBD Belapur Navi Mumbai 400 614 (Id: C-34209),1,1,0,2,120,60,NA,180,28,14,NA,42
1288,Bhartiya College of Agricultural Engineering (Id: C-33304),1,1,0,2,50,60,NA,110,40,25,NA,65
1289,Bhartiya College of Agriculture (Id: C-35086),1,1,0,2,50,60,NA,110,45,52,NA,97
1290,"Bhartiya Institute of Engineering and Technology,Sikar (Id: C-25182)",1,1,0,2,200,40,NA,240,180,35,NA,215
1291,"BHARTIYA KAPILMUNI DEGREE COLLEGE,KARPIYA,BEWAR MAINPURI (Id: C-15381)",0,1,0,1,NA,102,NA,102,NA,0,NA,0
1292,BHARTIYA VIDYA MANDIR COLLEGE (Id: C-34744),1,1,0,2,48,20,NA,68,0,0,NA,0
1293,Bhaskara Institute Of Pharmacy (Id: C-23983),1,1,0,2,200,150,NA,350,150,115,NA,265
1294,Bhaskar Engineering College (Id: C-19823),1,1,0,2,200,150,NA,350,165,114,NA,279
1295,Bhaskar Pharmacy College (Id: C-19656),1,1,0,2,50,50,NA,100,10,20,NA,30
1296,Bhatter College (Id: C-19076),1,1,0,2,40,50,NA,90,40,40,NA,80
1297,"Bhausaheb Mulak Ayurved Mahavidyalaya and Medical Sciences, Nagpur (Id: C-13846)",1,1,0,2,40,40,NA,80,15,20,NA,35
1298,"Bhavan's Shri I. L. Pandya Arts, Sci. and Jashodabahen Shah Commerce College, Dakor (Id: C-5925)",1,0,0,1,175,NA,NA,175,20,NA,NA,20
1299,Bhawanipur Anchalik College (Id: C-17089),0,1,0,1,NA,24,NA,24,NA,0,NA,0
1300,B.H.B. College (Id: C-17088),0,1,0,1,NA,44,NA,44,NA,0,NA,0
1301,Bhilai Institute of Technology Durg (Id: C-16658),1,0,0,1,150,NA,NA,150,150,NA,NA,150
1302,"Bhilai Institute of Technology Kendri, Raipur (Id: C-16634)",1,1,0,2,80,80,NA,160,65,65,NA,130
1303,Bhilai Mahila College Bhilai Nagar-2 (Id: C-21696),0,1,0,1,NA,100,NA,100,NA,100,NA,100
1304,Bhilai Maitry College Risali (Id: C-21729),1,1,0,2,15,50,NA,65,12,30,NA,42
1305,Bhilai School of Engineering Chandkhuri Durg. (Id: C-16629),1,1,0,2,40,30,NA,70,34,20,NA,54
1306,"Bhima Bhoi College,Rairakhol (Id: C-40912)",2,1,0,3,32,20,NA,52,0,0,NA,0
1307,"Bhimavaram Institute of Engineering and Technology, Swamy Gnananadha Ashram Road, Pennada, Bhimavaram , PIN - 534243(CC-AP) (Id: C-17944)",1,1,0,2,150,100,NA,250,39,72,NA,111
1308,"Bhiwani Institute of Tech. and Science Kharakhari,By Pass Bhiwani (Id: C-28054)",1,1,0,2,500,100,NA,600,250,100,NA,350
1309,Bhogawati Mahavidyalaya KURUKALI (Id: C-11013),1,1,0,2,250,100,NA,350,148,70,NA,218
1310,"BHOGI LAL PANDIYA, GOVT.COLLEGE (Id: C-39995)",1,2,0,3,30,200,NA,230,0,0,NA,0
1311,"Bhojia Dental College, Budh (Baddi), Chandigarh-Nalagarh Road, Distt. Solan (Id: C-11473)",1,1,0,2,32,300,NA,332,28,276,NA,304
1312,"Bhojia Institute of Life Sciences, Nalagarh (Id: C-11383)",0,1,0,1,NA,100,NA,100,NA,15,NA,15
1313,"Bhola Prasad Shastri Agricultural College, Purnia (Id: C-8349)",1,1,0,2,26,56,NA,82,16,12,NA,28
1314,BHOPAL CAMPUS (Id: C-27026),1,1,0,2,150,20,NA,170,156,9,NA,165
1315,Bhoramdev College of Agriculture (Id: C-33312),1,2,0,3,25,30,NA,55,10,18,NA,28
1316,"BHRATESH COLLEGE OF EDUCATION, BELLAD BAGEWADI (Id: C-10188)",1,1,0,2,50,50,NA,100,15,12,NA,27
1317,"Bhubaneswar Engineering College, (BEC), Bhubaneswar, Khordha (Id: C-30048)",3,1,0,4,150,50,NA,200,80,35,NA,115
1318,Bhubaneswar School of Hotel Management and Tourism (Id: C-23113),1,1,0,2,40,10,NA,50,22,10,NA,32
1319,"BHUPAL NOBLES COLLEGE OF PHARMACY, UDAIPUR (Id: C-47206)",2,3,0,5,125,300,NA,425,32,40,NA,72
1320,"BHUPAL NOBLES INSTITUTE OF PHARMACUTICAL SCIENCES, UDAIPUR (Id: C-48323)",2,3,0,5,125,300,NA,425,30,40,NA,70
1321,"Bhureshwar Mahadev Sanskrit Madavidyalaya, P.O. Panwa, Teh. Pachad. Distt Sirmour (Id: C-11510)",1,0,0,1,10,NA,NA,10,5,NA,NA,5
1322,"Bhuvanendra College, Karkala - 574104 (Id: C-16887)",2,1,0,3,400,170,NA,570,400,170,NA,570
1323,Bidar Institute of Medical Sciences (Id: C-40130),1,1,2,4,308,308,308,924,246,187,115,548
1324,Bidhan Chandra College (Id: C-44750),0,1,0,1,NA,30,NA,30,NA,15,NA,15
1325,"Bihar Agricultural College, Sabour (Id: C-8347)",4,4,0,8,159,90,NA,249,258,140,NA,398
1326,"Bihar Veterinary College, Patna (Id: C-8350)",3,1,0,4,200,40,NA,240,147,27,NA,174
1327,Bihpuria College P.O. Bihpuria-784164 (Id: C-8375),1,1,0,2,40,60,NA,100,35,44,NA,79
1328,BI.I.T. College Durg (Id: C-21694),1,1,0,2,75,50,NA,125,27,20,NA,47
1329,Bijoy Pal Memorial B. Ed. College (Id: C-44746),1,1,0,2,40,40,NA,80,18,20,NA,38
1330,"Biju Patnaik Institute of Information Technology and Management, (BIITM), Bhubaneswar (Id: C-30142)",1,2,0,3,20,65,NA,85,16,53,NA,69
1331,Bikali College (Id: C-17168),1,1,0,2,15,70,NA,85,15,60,NA,75
1332,Bikash Bharati Law College (Id: C-11980),0,1,0,1,NA,10,NA,10,NA,6,NA,6
1333,Billgates College of Education (Id: C-14398),1,1,0,2,100,100,NA,200,0,0,NA,0
1334,"BILROTH COLLEGE OF NURSING CHENNAI, CHENNAI (Id: C-45453)",1,1,0,2,50,250,NA,300,30,178,NA,208
1335,BIMR NURSING COLLEGE (Id: C-34845),0,1,0,1,NA,240,NA,240,NA,200,NA,200
1336,Binapani Sanskrit College (Id: C-44101),1,0,0,1,30,NA,NA,30,25,NA,NA,25
1337,"BioStatistics Resource and Training Centre.Department of Biostatistics,Christian Medical College (Id: C-36400)",0,1,0,1,NA,150,NA,150,NA,140,NA,140
1338,Bipin Chandra Tripathi Kumaon Engineering College (Id: C-21283),8,3,0,11,1005,324,NA,1329,1197,498,NA,1695
1339,BIPS COLLEGE OF NURSING (Id: C-34688),1,1,0,2,45,50,NA,95,40,45,NA,85
1340,Biramaharajpur College (Id: C-40995),0,2,0,2,NA,60,NA,60,NA,0,NA,0
1341,Birbhum Institute of Engineering and Technology 118-ENGG (Id: C-6215),4,1,0,5,965,254,NA,1219,931,246,NA,1177
1342,Birbhum Mahavidyalaya (Id: C-44766),0,2,0,2,NA,65,NA,65,NA,0,NA,0
1343,Birbhum Vivekananda Homoeopathic Medical College and Hospital (Id: C-16445),1,1,0,2,200,130,NA,330,80,115,NA,195
1344,"BIRDs BSW COLLEGE, TUKKANATTI (Id: C-10136)",1,1,0,2,96,52,NA,148,67,25,NA,92
1345,Birkha Ram College of Education (Id: C-10673),1,1,0,2,500,300,NA,800,0,0,NA,0
1346,Birla Institute of Applied Sciences (Id: C-21313),4,1,0,5,372,100,NA,472,236,90,NA,326
1347,"Bishop Abraham Memorial College, Thuruthicaud 689 597 (Id: C-11583)",0,1,0,1,NA,80,NA,80,NA,80,NA,80
1348,Bishop Appasamy College of Arts and Science (Id: C-41075),1,1,0,2,190,150,NA,340,175,140,NA,315
1349,Bishop Appasamy College of Education (Id: C-14513),0,1,0,1,NA,50,NA,50,NA,16,NA,16
1350,"Bishop Cotton Women Christian Law College, Bangalore (Id: C-9790)",0,1,0,1,NA,100,NA,100,NA,100,NA,100
1351,"Bishop Cotton Women College, Field Marshal Kariyappa Road, Bangalore-25 (Id: C-21058)",0,1,0,1,NA,40,NA,40,NA,32,NA,32
1352,"Bishop Heber College, Tiruchirappalli - 620 017. (Id: C-35825)",5,4,0,9,878,543,NA,1421,875,543,NA,1418
1353,"Bishop Jerome Institute, Fathima College Road, Kollam (Id: C-43676)",1,1,0,2,100,90,NA,190,75,85,NA,160
1354,"Bishop Kurialacherry College For Women, Amalagiri P.O Kottayam 686 561 (Id: C-11616)",0,1,0,1,NA,250,NA,250,NA,250,NA,250
1355,"Bishop Moore College, Mavelikkara, Alappuzha (Id: C-43711)",1,1,0,2,0,80,NA,80,0,80,NA,80
1356,"BISHOP S COLLEGE OF NURSING DHARAPURAM, ERODE (Id: C-45587)",0,1,0,1,NA,240,NA,240,NA,180,NA,180
1357,Bishop Thorp College (Id: C-41135),1,1,0,2,35,70,NA,105,30,50,NA,80
1358,"Bishop Vayalil Memorial Holy Cross College, Cherpunkal P.O., Pala 686 584 (Id: C-11665)",1,1,0,2,50,200,NA,250,5,120,NA,125
1359,Bissau College (Id: C-16328),0,1,0,1,NA,40,NA,40,NA,0,NA,0
